Season,Episode,Part,Length,Date,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,Doc9,Doc10,Doc11,Doc12,Doc13,Title,Title (temp),,
1,1,1,25,1963-11-23,y,0,0,0,0,0,0,0,0,0,0,0,0,An Unearthly Child,An Unearthly Child,,
1,2,2,25,1963-11-30,y,0,0,0,0,0,0,0,0,0,0,0,0,An Unearthly Child,0,,
1,3,3,25,1963-12-07,y,0,0,0,0,0,0,0,0,0,0,0,0,An Unearthly Child,0,,
1,4,4,25,1963-12-14,y,0,0,0,0,0,0,0,0,0,0,0,0,An Unearthly Child,0,,
1,5,1,25,1963-12-21,y,0,0,0,0,0,0,0,0,0,0,0,0,The Daleks,The Daleks,,
1,6,2,25,1963-12-28,y,0,0,0,0,0,0,0,0,0,0,0,0,The Daleks,0,,
1,7,3,25,1964-01-04,y,0,0,0,0,0,0,0,0,0,0,0,0,The Daleks,0,,
1,8,4,25,1964-01-11,y,0,0,0,0,0,0,0,0,0,0,0,0,The Daleks,0,,
1,9,5,25,1964-01-18,y,0,0,0,0,0,0,0,0,0,0,0,0,The Daleks,0,,
1,10,6,25,1964-01-25,y,0,0,0,0,0,0,0,0,0,0,0,0,The Daleks,0,,
1,11,7,25,1964-02-01,y,0,0,0,0,0,0,0,0,0,0,0,0,The Daleks,0,,
1,12,1,25,1964-02-08,y,0,0,0,0,0,0,0,0,0,0,0,0,The Edge Of Destruction,The Edge Of Destruction,,
1,13,2,25,1964-02-15,y,0,0,0,0,0,0,0,0,0,0,0,0,The Edge Of Destruction,0,,
1,14,1,25,1964-02-22,y,0,0,0,0,0,0,0,0,0,0,0,0,Marco Polo,Marco Polo,,
1,15,2,25,1964-02-29,y,0,0,0,0,0,0,0,0,0,0,0,0,Marco Polo,0,,
1,16,3,25,1964-03-07,y,0,0,0,0,0,0,0,0,0,0,0,0,Marco Polo,0,,
1,17,4,25,1964-03-14,y,0,0,0,0,0,0,0,0,0,0,0,0,Marco Polo,0,,
1,18,5,25,1964-03-21,y,0,0,0,0,0,0,0,0,0,0,0,0,Marco Polo,0,,
1,19,6,25,1964-03-28,y,0,0,0,0,0,0,0,0,0,0,0,0,Marco Polo,0,,
1,20,7,25,1964-04-04,y,0,0,0,0,0,0,0,0,0,0,0,0,Marco Polo,0,,
1,21,1,25,1964-04-11,y,0,0,0,0,0,0,0,0,0,0,0,0,The Keys Of Marinus,The Keys Of Marinus,,
1,22,2,25,1964-04-18,y,0,0,0,0,0,0,0,0,0,0,0,0,The Keys Of Marinus,0,,
1,23,3,25,1964-04-25,y,0,0,0,0,0,0,0,0,0,0,0,0,The Keys Of Marinus,0,,
1,24,4,25,1964-05-02,y,0,0,0,0,0,0,0,0,0,0,0,0,The Keys Of Marinus,0,,
1,25,5,25,1964-05-09,y,0,0,0,0,0,0,0,0,0,0,0,0,The Keys Of Marinus,0,,
1,26,6,25,1964-05-16,y,0,0,0,0,0,0,0,0,0,0,0,0,The Keys Of Marinus,0,,
1,27,1,25,1964-05-23,y,0,0,0,0,0,0,0,0,0,0,0,0,The Aztecs,The Aztecs,,
1,28,2,25,1964-05-30,y,0,0,0,0,0,0,0,0,0,0,0,0,The Aztecs,0,,
1,29,3,25,1964-06-06,y,0,0,0,0,0,0,0,0,0,0,0,0,The Aztecs,0,,
1,30,4,25,1964-06-13,y,0,0,0,0,0,0,0,0,0,0,0,0,The Aztecs,0,,
1,31,1,25,1964-06-20,y,0,0,0,0,0,0,0,0,0,0,0,0,The Sensorites,The Sensorites,,
1,32,2,25,1964-06-27,y,0,0,0,0,0,0,0,0,0,0,0,0,The Sensorites,0,,
1,33,3,25,1964-07-11,y,0,0,0,0,0,0,0,0,0,0,0,0,The Sensorites,0,,
1,34,4,25,1964-07-18,y,0,0,0,0,0,0,0,0,0,0,0,0,The Sensorites,0,,
1,35,5,25,1964-07-25,y,0,0,0,0,0,0,0,0,0,0,0,0,The Sensorites,0,,
1,36,6,25,1964-08-01,y,0,0,0,0,0,0,0,0,0,0,0,0,The Sensorites,0,,
1,37,1,25,1964-08-08,y,0,0,0,0,0,0,0,0,0,0,0,0,The Reign of Terror,The Reign of Terror,,
1,38,2,25,1964-08-15,y,0,0,0,0,0,0,0,0,0,0,0,0,The Reign of Terror,0,,
1,39,3,25,1964-08-22,y,0,0,0,0,0,0,0,0,0,0,0,0,The Reign of Terror,0,,
1,40,4,25,1964-08-29,y,0,0,0,0,0,0,0,0,0,0,0,0,The Reign of Terror,0,,
1,41,5,25,1964-09-05,y,0,0,0,0,0,0,0,0,0,0,0,0,The Reign of Terror,0,,
1,42,6,25,1964-09-12,y,0,0,0,0,0,0,0,0,0,0,0,0,The Reign of Terror,0,,
2,43,1,25,1964-10-31,y,0,0,0,0,0,0,0,0,0,0,0,0,Planet of Giants,Planet of Giants,,
2,44,2,25,1964-11-07,y,0,0,0,0,0,0,0,0,0,0,0,0,Planet of Giants,0,,
2,45,3,25,1964-11-14,y,0,0,0,0,0,0,0,0,0,0,0,0,Planet of Giants,0,,
